Date,Price,High,Low,Close,Adj Close,Volume
2021-11-18,73.815002,74.184998,72.464996,74.014999,73.973831,8877600
2021-11-19,73.974998,74.614998,73.474998,73.660004,73.619034,8783200
2021-11-22,74.550003,75.845001,72.925003,73.004997,72.964394,11923800
2021-11-23,72.830002,73.724998,71.550003,73.349998,73.309204,12857000
2021-11-24,72.32,73.940002,71.885002,73.845001,73.803932,9659400
2021-11-26,70.519997,71.25,68.370003,69.035004,68.996605,16610400
2021-11-29,71.214996,72.334999,70.160004,71.480003,71.440247,11760000
2021-11-30,70.245003,71.165001,67.154999,67.425003,67.387505,20481600
2021-12-01,69.949997,71.315002,64.919998,65.040001,65.00383,19215000
2021-12-02,65.110001,68.714996,64.934998,67.974998,67.937195,18059800
2021-12-03,68.805,69.290001,64.224998,66.184998,66.148186,24006600
2021-12-06,67.400002,69.445,66.275002,68.550003,68.511879,16989400
2021-12-07,71.114998,73.099998,71.07,72.794998,72.754509,13949800
2021-12-08,73.040001,73.629997,72.150002,73.434998,73.394157,8183200
2021-12-09,72.754997,73.205002,71.82,71.919998,71.879997,7923000
2021-12-10,73.239998,74.010002,71.974998,73.995003,73.95385,11845200
2021-12-13,73.695,73.839996,71.839996,72.019997,71.979942,9221800
2021-12-14,70.32,71.57,69.029999,70.510002,70.470787,9927000
2021-12-15,70.495003,73.894997,69.294998,73.769997,73.728966,11675800
2021-12-16,74.699997,74.824997,71.019997,71.794998,71.755066,14363600
2021-12-17,70.269997,71.754997,68.669998,69.540001,69.501328,20049600
